floor.number,room.name,circle.name
2,3-208/209,ジャーナリズム･政策研究所
2,3-211,アイススケート部
2,3-211,ヨット部
2,3-211,ラグビーフットボール部
2,3-212,アメリカンフットボール部
2,3-212,應援指導部ブルーペガサス
2,ステージ横,電気美術研究部
3,3-301,オータムフェスティバル実行委員会
3,3-302,射撃部
3,3-302,管弦楽団
3,3-303,洋弓部
3,3-303,男子ラクロス部
3,3-304,軟式庭球部
3,3-304,女子ラクロス部
3,3-305,自動車部
3,3-305,鉄道研究会
3,3-305,とらべらあずくらぶ
3,3-305,登山サークルTOP
3,3-306,合気道部
3,3-306,落語くらぶ
3,3-312,参禅部
3,3-312,仏教青年会
3,3-312,手話サークル「かえで」
3,3-312,駒澤大学学生赤十字奉仕団
3,アクティブラーニングスペース,居合道部
3,アクティブラーニングスペース,自転車部
3,アクティブラーニングスペース,少林寺拳法部
3,アクティブラーニングスペース,バドミントン部
3,アクティブラーニングスペース,チアリーディング部BLUE JAYS
3,大階段の横,日本拳法部
3,大階段の横,オーストラリアンフットボール部”マグパイズ”
3,下りエスカレーターの前,学生支援センター 駒澤大学SAT
3,下りエスカレーターの前,教務部 FDスタッフ
3,下りエスカレーターの前,入学センターKPS（駒澤プロモーションスタッフ）
3,ラウンジ,軟式野球部
3,ラウンジ,ワンダーフォーゲル部
4,情報グループ学習室PAO,総合情報センター PAOPAL
4,情報グループ学習室の前,準硬式野球部
4,情報グループ学習室の前,アグレッシブキャッツ
4,情報グループ学習室の前,フットサルサークルFC.AZUL
4,情報グループ学習室の前,筋トレサークル駒力
4,ラウンジ,演劇研究部
4,ラウンジ,バドミントンサークルZIP＆LIGHT
4,下りエスカレーターの前,企画研究会
4,大階段の横,弓道部
4,大階段の横,合唱団
4,アクティブラーニングスペース,卓球部
4,アクティブラーニングスペース,ハンドボール部
4,アクティブラーニングスペース,ボウリング部
4,アクティブラーニングスペース,剣道居合愛好会
4,アクティブラーニングスペース,アルティメットサークルMilagro
4,3-403,吹奏楽部
5,3-501,戦国史研究会
5,3-501,織田信長研究会
5,3-501,東洋史学研究会
5,3-501,西洋史研究会
5,3-502,A･C陸上競技同好会
5,3-502,キャンパス･スポーツ友好会
5,3-502,駒沢ボンバーズバスケットボールクラブ
5,3-502,サッカー同好会
5,3-503,アカペラサークル鳴声刺心
5,3-503,駒澤お笑い集団ナイフとフォーク
5,3-504,中世史研究会
5,3-504,近世史研究会
5,3-504,近代史研究会
5,3-504,古代史研究会
5,3-504,幕末維新史研究会
5,3-505,競技ダンス部
5,3-505,青空会
5,3-505,バレーボール同好会
5,3-505,Dear Friends tennis club
5,ラウンジ,公法学研究室
5,ラウンジ,Komazawa Commons Low Society
6,3-601,写真部
6,3-601,書道部
6,3-602,美術部
6,3-602,ディズニーサークル
6,3-603,スポーツ友好会RED FOX
6,3-603,K-POPコピーダンスサークルChoA
6,3-604,ストリートダンスサークルKST
6,3-604,FC.Union
6,3-605,写真美術部
6,3-605,ポケモンサークル「駒ポケ」
6,3-605,特撮研究会
6,3-605,星のカービィサークル
6,3-606,軟式テニス同好会エンドレス
6,3-606,バレー･バスケ同好会PRESTOS
6,3-606,卓球サークルスリースター駒澤
6,3-606,ジャズダンスサークルFLAP
6,ラウンジ,法学研究会
6,ラウンジ,折り紙サークル「折旃」
7,3-701,囲碁部
7,3-701,将棋愛好会
7,3-702,Modeler's
7,3-702,テーブルゲーム研究会
7,3-703,ギターマンドリン倶楽部
7,3-704,軽音楽部ジャズ研究会
7,3-705,漫画倶楽部
7,3-705,現代小説研究会
7,3-705,ラブライブ！研究会
7,3-705,刀剣愛好会
7,3-706,駒沢大学ボランティアサークル
7,3-706,スペイン語研究会ポコ･ア･ポコ
7,3-706,国際交流会Panda
7,3-706,ラジエーションサークル
7,ラウンジ,駒澤サブカルチャー同好会
7,ラウンジ,弓道同好会
8,3-801,サウンドアスレチック
8,3-802,Creative Square
8,3-803,軽音サークルメモアール
8,3-804,軽音楽部ポピュラー研究会
8,3-805,軽音楽部ミュージック研究会
8,3-806,サバイバルゲーム研究会
8,3-807,野球サークルSQUARE
8,3-808,野球サークルフライツ
8,3-809,地理学研究会
8,3-809,教育支援ボランティア研究会EduBuddy
8,3-810,心理学研究会
8,3-810,推理小説同好会
8,3-811,茶道部
8,3-811,紅茶文化研究会喫茶館
8,3-812,駒澤スイーツ研究会
8,3-812,珈琲研究会
8,ラウンジ,コックさん倶楽部
8,ラウンジ,シルバーフォックススキークラブ
9,3-901,VTuber研究会
9,3-901,アイドル研究会
9,3-902,異装文化研究会CRADLE
9,3-903,クイズ研究会KOQC
9,3-904,eスポーツサークル
9,3-905,駒澤GAMES
9,3-906,放送研究会
9,3-907,スポーツチャンバラサークル飛颺会
9,3-907,雀友会
9,3-908,スノボサークルnevi
9,3-909,温泉サークル－ゆるり－
9,3-909,駒澤東方倶楽部
9,3-910,文芸サークル「草行」
9,3-910,プログラミング研究会Komatech
9,3-911,ソフトテニスサークルソレイユ
9,3-911,Catch up
9,3-912,水泳部
9,3-912,ドライブサークルPAL
9,ラウンジ,ダイビング&スキーアンドスノボサークルSHUNTER
9,ラウンジ,野球観戦サークル
